condition_id,predictor_set,scenario,n_train,n_test,n_sets,p_per_set,rho_within,rho_between,target_r2,nonlinearity_strength,seed_base,n_rep_all,n_rep_stable,mean_delta_component_correlation_all,mean_delta_component_correlation_stable,mcse_delta_component_correlation_all,mcse_delta_component_correlation_stable,component_correlation_ci_lower_all,component_correlation_ci_lower_stable,component_correlation_ci_upper_all,component_correlation_ci_upper_stable,kernel_component_correlation_win_rate_all,kernel_component_correlation_win_rate_stable,mean_delta_component_rmse_all,mean_delta_component_rmse_stable,mcse_delta_component_rmse_all,mcse_delta_component_rmse_stable,component_rmse_ci_lower_all,component_rmse_ci_lower_stable,component_rmse_ci_upper_all,component_rmse_ci_upper_stable,kernel_component_rmse_win_rate_all,kernel_component_rmse_win_rate_stable,n_train_factor,p_per_set_factor,target_r2_factor
15,3,nonlinear,150,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,0.144791413407702,0.144791413407702,0.00403558595722753,0.00403558595722753,0.13686257906768,0.13686257906768,0.152720247747724,0.152720247747724,0.964,0.964,-0.149029587195764,-0.149029587195764,0.00360081715401437,0.00360081715401437,-0.156104218489828,-0.156104218489828,-0.141954955901699,-0.141954955901699,0.964,0.964,150,5,0.6
16,1,linear,300,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,-0.00122903021207324,-0.00122903021207324,1.2933050952039e-4,1.2933050952039e-4,-0.00148312966527937,-0.00148312966527937,-9.7493075886712e-4,-9.7493075886712e-4,0.372,0.372,0.00863889009790307,0.00863889009790307,9.0597094637019e-4,9.0597094637019e-4,0.00685890235218863,0.00685890235218863,0.0104188778436175,0.0104188778436175,0.372,0.372,300,5,0.6
16,2,linear,300,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,-0.00144001966577459,-0.00144001966577459,1.6809062339827e-4,1.6809062339827e-4,-0.00177027225391463,-0.00177027225391463,-0.00110976707763456,-0.00110976707763456,0.378,0.378,0.00808855007713336,0.00808855007713336,8.8258252214884e-4,8.8258252214884e-4,0.00635451425589548,0.00635451425589548,0.00982258589837124,0.00982258589837124,0.384,0.384,300,5,0.6
16,3,linear,300,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,-0.00180390410648276,-0.00180390410648276,2.5307809832238e-4,2.5307809832238e-4,-0.00230113408447202,-0.00230113408447202,-0.00130667412849349,-0.00130667412849349,0.44,0.44,0.00780182066420694,0.00780182066420694,0.00104838592464742,0.00104838592464742,0.00574202602495436,0.00574202602495436,0.00986161530345953,0.00986161530345953,0.438,0.438,300,5,0.6
17,1,mixed,300,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,-0.0153559320558912,-0.0153559320558912,6.5061258543686e-4,6.5061258543686e-4,-0.0166342097246455,-0.0166342097246455,-0.0140776543871369,-0.0140776543871369,0.112,0.112,0.0760507612734316,0.0760507612734316,0.0028919717276655,0.0028919717276655,0.0703688194221817,0.0703688194221817,0.0817327031246814,0.0817327031246814,0.114,0.114,300,5,0.6
17,2,mixed,300,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,0.892734998464329,0.892734998464329,0.00292684915632081,0.00292684915632081,0.886984531903918,0.886984531903918,0.89848546502474,0.89848546502474,1,1,-0.649787044121679,-0.649787044121679,0.0058139896723438,0.0058139896723438,-0.661209960509831,-0.661209960509831,-0.638364127733526,-0.638364127733526,1,1,300,5,0.6
17,3,mixed,300,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,0.165489882903367,0.165489882903367,0.00210586119324613,0.00210586119324613,0.161352435523656,0.161352435523656,0.169627330283078,0.169627330283078,1,1,-0.217141878494568,-0.217141878494568,0.00286721390096693,0.00286721390096693,-0.222775177916046,-0.222775177916046,-0.21150857907309,-0.21150857907309,1,1,300,5,0.6
18,1,nonlinear,300,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,0.274330747997,0.274330747997,0.00191704330607833,0.00191704330607833,0.270564276669751,0.270564276669751,0.278097219324248,0.278097219324248,1,1,-0.305576527813216,-0.305576527813216,0.00291046447625099,0.00291046447625099,-0.311294802911132,-0.311294802911132,-0.2998582527153,-0.2998582527153,1,1,300,5,0.6
18,2,nonlinear,300,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,0.864970902084716,0.864970902084716,0.00339900131186418,0.00339900131186418,0.858292784307291,0.858292784307291,0.871649019862142,0.871649019862142,1,1,-0.570537966326846,-0.570537966326846,0.00565439552938181,0.00565439552938181,-0.581647323411692,-0.581647323411692,-0.559428609242,-0.559428609242,1,1,300,5,0.6
18,3,nonlinear,300,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,0.163753447884288,0.163753447884288,0.00266797202049739,0.00266797202049739,0.158511604841284,0.158511604841284,0.168995290927292,0.168995290927292,0.996,0.996,-0.204112056056919,-0.204112056056919,0.00315118347970847,0.00315118347970847,-0.210303278855897,-0.210303278855897,-0.197920833257941,-0.197920833257941,0.996,0.996,300,5,0.6
19,1,linear,150,1000,3,20,0.4,0.1,0.6,0.35,20260707,500,500,-0.0211531443596168,-0.0211531443596168,0.00351821487570368,0.00351821487570368,-0.0280654845297219,-0.0280654845297219,-0.0142408041895116,-0.0142408041895116,0.492,0.492,0.0276988072688616,0.0276988072688616,0.00486371515410574,0.00486371515410574,0.0181429231561979,0.0181429231561979,0.0372546913815254,0.0372546913815254,0.5,0.5,150,20,0.6
19,2,linear,150,1000,3,20,0.4,0.1,0.6,0.35,20260707,500,500,-0.0254775143177775,-0.0254775143177775,0.00367274905525961,0.00367274905525961,-0.0326934723323683,-0.0326934723323683,-0.0182615563031867,-0.0182615563031867,0.5,0.5,0.0291043110918033,0.0291043110918033,0.0045407827330732,0.0045407827330732,0.020182901798045,0.020182901798045,0.0380257203855617,0.0380257203855617,0.506,0.506,150,20,0.6
19,3,linear,150,1000,3,20,0.4,0.1,0.6,0.35,20260707,500,500,-0.0210075576321716,-0.0210075576321716,0.00422401708864449,0.00422401708864449,-0.0293066081542657,-0.0293066081542657,-0.0127085071100776,-0.0127085071100776,0.506,0.506,0.0172784079691034,0.0172784079691034,0.00404304775711776,0.00404304775711776,0.00933491321152727,0.00933491321152727,0.0252219027266795,0.0252219027266795,0.506,0.506,150,20,0.6
20,1,mixed,150,1000,3,20,0.4,0.1,0.6,0.35,20260707,500,500,-0.0897410163773009,-0.0897410163773009,0.00616377056002378,0.00616377056002378,-0.101851157555884,-0.101851157555884,-0.0776308751987175,-0.0776308751987175,0.31,0.31,0.0978818017538758,0.0978818017538758,0.00706925671895537,0.00706925671895537,0.083992625305707,0.083992625305707,0.111770978202045,0.111770978202045,0.304,0.304,150,20,0.6
20,2,mixed,150,1000,3,20,0.4,0.1,0.6,0.35,20260707,500,500,0.246471285493184,0.246471285493184,0.0102722283017886,0.0102722283017886,0.226289136637724,0.226289136637724,0.266653434348643,0.266653434348643,0.818,0.818,-0.0757924675598205,-0.0757924675598205,0.00352889126030982,0.00352889126030982,-0.0827257839365507,-0.0827257839365507,-0.0688591511830902,-0.0688591511830902,0.856,0.856,150,20,0.6
20,3,mixed,150,1000,3,20,0.4,0.1,0.6,0.35,20260707,500,500,0.209813548988013,0.209813548988013,0.00520152711016054,0.00520152711016054,0.199593955796661,0.199593955796661,0.220033142179364,0.220033142179364,0.992,0.992,-0.131517164628031,-0.131517164628031,0.00274656651759291,0.00274656651759291,-0.136913424589449,-0.136913424589449,-0.126120904666614,-0.126120904666614,0.994,0.994,150,20,0.6
